// 0. Quantity class name
// 1. Quantity display name
// 2. Dimensionless differentiator
// 3-9. Quantity dimension exponents for length, mass, time, electric current, temperature, luminous intensity, amount of substance
// 10. Standard unit field name
// 11. Standard unit display name
// 12. Lower standard unit prefix exponent
// 13. Upper standard unit prefix exponent
// 14.-16., 17.-19. etc. Additional unit triplets (Unit field name, unit symbol, Factors class conversion factor vs. standard unit)
AbsorbedDose,,,2,0,-2,0,0,0,0,Gray,Gy,-9,3,Rad,rad,Centi
Acceleration,,,1,0,-2,0,0,0,0,MeterPerSecondSquared,m s\u207b²,-3,3
Activity,,,0,0,-1,0,0,0,0,Becquerel,Bq,3,9,Curie,Ci,BecquerelPerCurie,KiloCurie,kCi,Kilo*BecquerelPerCurie,MilliCurie,mCi,Milli*BecquerelPerCurie,MicroCurie,µCi,Micro*BecquerelPerCurie
AmountConcentration,,,-3,0,0,0,0,0,1,MolePerCubicMeter,mol m\u207b³,-9,9
AmountOfSubstance,,,0,0,0,0,0,0,1,Mole,mol,-9,9
AngularAcceleration,,Radian,0,0,-2,0,0,0,0,RadianPerSecondSquared,rad s\u207b²,-9,9
AngularVelocity,,Radian,0,0,-1,0,0,0,0,RadianPerSecond,rad s\u207b¹,-9,9
Area,,,2,0,0,0,0,0,0,SquareMeter,m²,0,0,SquareKiloMeter,km²,Kilo*Kilo,SquareDeciMeter,dm²,Deci*Deci,SquareCentiMeter,cm²,Centi*Centi,SquareMilliMeter,mm²,Milli*Milli,Barn,b,SquareMetersPerBarn,Are,a,Deka,Hectare,ha,Hecto
Capacitance,,,-2,-1,4,2,0,0,0,Farad,F,-12,3
CatalyticActivity,,,0,0,-1,0,0,0,1,Katal,kat,-9,3
CurrentDensity,,,-2,0,0,1,0,0,0,AmperePerSquareMeter,A m\u207b²,-9,9
DoseEquivalent,,,2,0,-2,0,0,0,0,Sievert,Sv,-9,3
DynamicViscosity,,,-1,1,-1,0,0,0,0,PascalSecond,Pa s,-3,9
ElectricCharge,,,0,0,1,1,0,0,0,Coulomb,C,-12,-3,ElementaryCharge,e,CoulombsPerElementaryCharge
ElectricConductance,,,-2,-1,3,2,0,0,0,Siemens,S,-9,9
ElectricCurrent,,,0,0,0,1,0,0,0,Ampere,A,-12,3
ElectricPotential,,,2,1,-3,-1,0,0,0,Volt,V,-9,9
ElectricResistance,,,2,1,-3,-2,0,0,0,Ohm,Ω,-9,9
Energy,,,2,1,-2,0,0,0,0,Joule,J,-9,9,WattHour,Wh,SecondsPerHour,KiloWattHour,kWh,Kilo*SecondsPerHour,MegaWattHour,MWh,Mega*SecondsPerHour,GigaWattHour,GWh,Giga*SecondsPerHour,TeraWattHour,TWh,Tera*SecondsPerHour,ElectronVolt,eV,JoulesPerElectronVolt,KiloElectronVolt,keV,Kilo*JoulesPerElectronVolt,MegaElectronVolt,MeV,Mega*JoulesPerElectronVolt,GigaElectronVolt,GeV,Giga*JoulesPerElectronVolt,TeraElectronVolt,TeV,Tera*JoulesPerElectronVolt
Force,,,1,1,-2,0,0,0,0,Newton,N,-9,9
